student_id,age,program,semester,gpa,attendance,assignments_completion,stress_level,sleep_hours,mental_wellbeing,productivity_score,distractions,career_clarity,skill_readiness,engagement_score,APS,WWS,PTMS,CRS,SRI,Risk_Category
S001,19,B.Tech,3,8.34,89.1,71.9,6,7.1,8,8,3,8,5,79.2,82.2,70.6,76.8,65.0,73.9,Blue
S002,20,B.Tech,5,2.29,53.1,13.6,9,4.1,1,2,9,1,2,16.8,27.1,22.4,16.4,15.0,20.8,Red
S003,21,B.Sc,6,7.68,77.7,73.6,3,6.5,8,8,5,7,7,69.8,76.3,77.4,69.0,70.0,73.5,Blue
S004,24,MBA,5,8.36,84.8,80.9,6,7.5,8,8,3,6,5,61.7,83.3,72.1,73.3,55.0,71.4,Blue
S005,26,MBA,8,4.71,12.9,2.4,7,4.3,2,1,10,1,1,12.8,31.3,33.1,7.6,10.0,21.7,Red
S006,20,B.Tech,5,9.02,99.5,98.6,1,7.8,10,10,1,10,10,87.8,93.7,96.2,94.6,100.0,96.1,Green
S007,21,BCA,7,5.14,74.2,60.3,7,6.9,5,3,5,4,3,54.7,57.7,54.9,40.9,35.0,48.0,Yellow
S008,20,B.Sc,4,5.25,70.7,61.2,8,5.5,6,5,7,6,5,51.0,57.9,50.6,44.2,55.0,52.6,Yellow
S009,20,BCA,5,5.89,71.8,58.6,7,7.0,4,4,6,5,4,51.8,61.4,51.2,42.4,45.0,51.0,Yellow
S010,20,B.Tech,5,5.2,61.9,53.5,9,6.2,4,4,5,5,3,40.2,54.3,42.2,43.0,40.0,45.4,Yellow
S011,21,B.Sc,7,8.61,86.2,72.4,5,7.2,6,8,4,8,7,69.1,83.4,66.0,71.8,75.0,74.6,Blue
S012,21,B.Sc,6,5.32,66.6,55.5,8,5.6,4,4,8,5,3,43.6,56.3,43.0,34.7,40.0,44.6,Yellow
S013,22,B.Sc,8,6.25,68.0,51.7,9,5.6,6,5,7,3,5,47.2,61.4,48.0,43.4,40.0,49.1,Yellow
S014,19,BCA,3,5.28,74.8,51.4,6,6.7,4,3,7,6,3,47.5,56.9,53.1,33.5,45.0,48.3,Yellow
S015,18,B.Sc,1,7.57,75.9,75.8,6,7.3,7,7,3,8,7,83.2,75.8,67.4,72.6,75.0,72.9,Blue
S016,25,MBA,7,2.1,14.9,36.7,8,4.5,3,2,8,1,2,13.4,22.9,34.9,18.7,15.0,23.1,Red
S017,24,MBA,5,9.44,96.6,93.8,2,8.5,10,10,1,9,10,93.2,94.7,94.0,95.6,95.0,94.8,Green
